	date	wse
0	2017-03-01 00:00:00	-0.02
1	2017-03-01 01:00:00	-0.02
2	2017-03-01 02:00:00	-0.02
3	2017-03-01 03:00:00	-0.02
4	2017-03-01 04:00:00	-0.0
5	2017-03-01 05:00:00	0.01
6	2017-03-01 06:00:00	0.04
7	2017-03-01 07:00:00	0.06
8	2017-03-01 08:00:00	0.08
9	2017-03-01 09:00:00	0.1
10	2017-03-01 10:00:00	0.09
11	2017-03-01 11:00:00	0.08
12	2017-03-01 12:00:00	0.06
13	2017-03-01 13:00:00	0.03
14	2017-03-01 14:00:00	0.01
15	2017-03-01 15:00:00	-0.01
16	2017-03-01 16:00:00	-0.03
17	2017-03-01 17:00:00	-0.05
18	2017-03-01 18:00:00	-0.04
19	2017-03-01 19:00:00	-0.02
20	2017-03-01 20:00:00	0.01
21	2017-03-01 21:00:00	0.04
22	2017-03-01 22:00:00	0.05
23	2017-03-01 23:00:00	0.04
24	2017-03-02 00:00:00	0.03
25	2017-03-02 01:00:00	0.01
26	2017-03-02 02:00:00	-0.02
27	2017-03-02 03:00:00	-0.04
28	2017-03-02 04:00:00	-0.06
29	2017-03-02 05:00:00	-0.07
30	2017-03-02 06:00:00	-0.06
31	2017-03-02 07:00:00	-0.03
32	2017-03-02 08:00:00	0.0
33	2017-03-02 09:00:00	0.04
34	2017-03-02 10:00:00	0.07
35	2017-03-02 11:00:00	0.08
36	2017-03-02 12:00:00	0.07
37	2017-03-02 13:00:00	0.06
38	2017-03-02 14:00:00	0.03
39	2017-03-02 15:00:00	0.01
40	2017-03-02 16:00:00	-0.02
41	2017-03-02 17:00:00	-0.04
42	2017-03-02 18:00:00	-0.06
43	2017-03-02 19:00:00	-0.08
44	2017-03-02 20:00:00	-0.09
45	2017-03-02 21:00:00	-0.09
46	2017-03-02 22:00:00	-0.1
47	2017-03-02 23:00:00	-0.11
48	2017-03-03 00:00:00	-0.12
49	2017-03-03 01:00:00	-0.13
50	2017-03-03 02:00:00	-0.15
51	2017-03-03 03:00:00	-0.16
52	2017-03-03 04:00:00	-0.17
53	2017-03-03 05:00:00	-0.19
54	2017-03-03 06:00:00	-0.19
55	2017-03-03 07:00:00	-0.19
56	2017-03-03 08:00:00	-0.19
57	2017-03-03 09:00:00	-0.17
58	2017-03-03 10:00:00	-0.15
59	2017-03-03 11:00:00	-0.13
60	2017-03-03 12:00:00	-0.13
61	2017-03-03 13:00:00	-0.13
62	2017-03-03 14:00:00	-0.13
63	2017-03-03 15:00:00	-0.14
64	2017-03-03 16:00:00	-0.15
65	2017-03-03 17:00:00	-0.16
66	2017-03-03 18:00:00	-0.16
67	2017-03-03 19:00:00	-0.17
68	2017-03-03 20:00:00	-0.17
69	2017-03-03 21:00:00	-0.16
70	2017-03-03 22:00:00	-0.15
71	2017-03-03 23:00:00	-0.14
72	2017-03-04 00:00:00	-0.14
73	2017-03-04 01:00:00	-0.15
74	2017-03-04 02:00:00	-0.16
75	2017-03-04 03:00:00	-0.17
76	2017-03-04 04:00:00	-0.18
77	2017-03-04 05:00:00	-0.2
78	2017-03-04 06:00:00	-0.21
79	2017-03-04 07:00:00	-0.22
80	2017-03-04 08:00:00	-0.23
81	2017-03-04 09:00:00	-0.23
82	2017-03-04 10:00:00	-0.23
83	2017-03-04 11:00:00	-0.23
84	2017-03-04 12:00:00	-0.23
85	2017-03-04 13:00:00	-0.23
86	2017-03-04 14:00:00	-0.24
87	2017-03-04 15:00:00	-0.25
88	2017-03-04 16:00:00	-0.26
89	2017-03-04 17:00:00	-0.27
90	2017-03-04 18:00:00	-0.28
91	2017-03-04 19:00:00	-0.29
92	2017-03-04 20:00:00	-0.29
93	2017-03-04 21:00:00	-0.29
94	2017-03-04 22:00:00	-0.28
95	2017-03-04 23:00:00	-0.27
96	2017-03-05 00:00:00	-0.26
97	2017-03-05 01:00:00	-0.24
98	2017-03-05 02:00:00	-0.24
99	2017-03-05 03:00:00	-0.24
100	2017-03-05 04:00:00	-0.24
101	2017-03-05 05:00:00	-0.25
102	2017-03-05 06:00:00	-0.26
103	2017-03-05 07:00:00	-0.26
104	2017-03-05 08:00:00	-0.26
105	2017-03-05 09:00:00	-0.25
106	2017-03-05 10:00:00	-0.23
107	2017-03-05 11:00:00	-0.2
108	2017-03-05 12:00:00	-0.18
109	2017-03-05 13:00:00	-0.16
110	2017-03-05 14:00:00	-0.15
111	2017-03-05 15:00:00	-0.15
112	2017-03-05 16:00:00	-0.16
113	2017-03-05 17:00:00	-0.18
114	2017-03-05 18:00:00	-0.19
115	2017-03-05 19:00:00	-0.2
116	2017-03-05 20:00:00	-0.22
117	2017-03-05 21:00:00	-0.22
118	2017-03-05 22:00:00	-0.22
119	2017-03-05 23:00:00	-0.21
